"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/series-jsn-junior/","0","","0","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/wonderful-wooden-butterfly/","1","Wonderful Wooden Butterfly","26","","0","Indexable",""
"https://jigsawnation.com/in/en/products/marvellous-wooden-tiger/","1","Marvellous Wooden Tiger","23","","0","Indexable",""
"https://jigsawnation.com/in/en/products/amazing-wooden-panda/","1","Amazing Wooden Panda","20","","0","Indexable",""
"https://jigsawnation.com/in/en/products/royal-wooden-owl/","1","Royal Wooden Owl","16","","0","Indexable",""
"https://jigsawnation.com/in/en/products/majestic-wooden-fox/","1","Majestic Wooden Fox","19","","0","Indexable",""
"https://jigsawnation.com/in/en/products/wiggle-wooden-fish/","1","Wiggle Wooden Fish","18","","0","Indexable",""
"https://jigsawnation.com/in/en/products/marvelous-wooden-elephant/","1","Marvelous Wooden Elephant","25","","0","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/series-isro/","0","","0","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/brave-wooden-wolf/","1","Brave Wooden Wolf","17","","0","Indexable",""
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgz","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgx","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgy","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgw","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg4","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTkx","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg5","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg2","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTkw","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg1","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg0","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg3","1","Karakuri Workshop","17","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop-book/","1","Karakuri Workshop Book","22","","0","Indexable",""
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTk1","1","Jigsaw Puzzle Sticker Paper","27","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTk2","1","Jigsaw Puzzle Sticker Paper","27","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTk3","1","Jigsaw Puzzle Sticker Paper","27","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTky","1","Jigsaw Puzzle Sticker Paper","27","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTkz","1","Jigsaw Puzzle Sticker Paper","27","","0","Non-Indexable","Canonicalised"
