"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://jigsawnation.com/in/en/","1","Puzzles aren't just a hobby; but a form of art.","47","","0","Indexable",""
"https://jigsawnation.com/in/en/legal/shipping/","3","Domestic Shipments - UAE","24","Domestic Shipments - India","26","Indexable",""
"https://jigsawnation.com/in/en/products/cotton-candy-skies/","1","A 1000 Piece Jigsaw Puzzle by Soumyaraj Vishwakarma","51","","0","Indexable",""
"https://jigsawnation.com/in/en/legal/returns/","3","Refunds & Returns","17","Cancellations","13","Indexable",""
"https://jigsawnation.com/in/en/products/bubble-quack/","1","A 500 Piece Jigsaw Puzzle by Murtaza M. Bookwala","48","","0","Indexable",""
"https://jigsawnation.com/in/en/products/market-woman-cat/","1","A 1000 Piece Jigsaw Puzzle by Chaaya Prabhat","44","","0","Indexable",""
"https://jigsawnation.com/in/en/products/chirps-of-india/","1","A 500 Piece Jigsaw Puzzle by Annada Menon","41","","0","Indexable",""
"https://jigsawnation.com/in/en/products/disco-dots/","1","A 500 Piece Jigsaw Puzzle by Murtaza M. Bookwala","48","","0","Indexable",""
"https://jigsawnation.com/in/en/products/cubicle-cascade/","1","A 1000 Piece Jigsaw Puzzle by Murtaza M. Bookwala","49","","0","Indexable",""
"https://jigsawnation.com/in/en/products/kite-market/","1","A 500 Piece Jigsaw Puzzle by Chaaya Prabhat","43","","0","Indexable",""
"https://jigsawnation.com/in/en/about-us/","0","","0","","0","Indexable",""
"https://jigsawnation.com/in/en/products/fruit-seller/","1","A 150 Piece Jigsaw Puzzle by Mario Miranda","42","","0","Indexable",""
"https://jigsawnation.com/in/en/custom-puzzle/","4","Choose Your Custom Puzzle Type","30","Design your personalized custom photo puzzle in minutes","55","Indexable",""
"https://jigsawnation.com/in/en/products/george-pompidou-centre/","1","A 150 Piece Jigsaw Puzzle by Mario Miranda","42","","0","Indexable",""
"https://jigsawnation.com/in/en/products/bustling-broadway/","1","A 150 Piece Jigsaw Puzzle by Mario Miranda","42","","0","Indexable",""
"https://jigsawnation.com/in/en/products/chomped-to-pieces/","1","A 280 Piece Jigsaw Puzzle by Murtaza M. Bookwala","48","","0","Indexable",""
"https://jigsawnation.com/in/en/products/endangered-circle-of-life/","1","A 100 Piece Jigsaw Puzzle by Annada Menon","41","","0","Indexable",""
"https://jigsawnation.com/in/en/products/chromatic-waves/","1","A 1000 Piece Jigsaw Puzzle by Murtaza M. Bookwala","49","","0","Indexable",""
"https://jigsawnation.com/in/en/products/eight-seasons/","1","A 500 Piece Jigsaw Puzzle by Murtaza M. Bookwala","48","","0","Indexable",""
"https://jigsawnation.com/in/en/products/all-the-quacks/","1","A 500 Piece Jigsaw Puzzle by Murtaza M. Bookwala","48","","0","Indexable",""
"https://jigsawnation.com/in/en/products/golden-dream/","1","A 100 Piece Jigsaw Puzzle by Annada Menon","41","","0","Indexable",""
"https://jigsawnation.com/in/en/legal/privacy/","10","Section 1 - What Do We Do With Your Information","47","Section 2 - Consent","19","Indexable",""
