"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://jigsawnation.com/in/en/products/categories/art-craft-kits/","1","Buy Art & Craft Kits in India only at Jigsaw Nation","51","436","Indexable",""
"https://jigsawnation.com/in/en/products/girl-in-kimono/","1","Buy Girl in Kimono - A 500 Piece Artist Jigsaw Puzzle by Mario Miranda in India only at Jigsaw Nation","101","896","Indexable",""
"https://jigsawnation.com/in/en/contact/","1","Jigsaw Nation the best place to buy jigsaw puzzles online in India","66","580","Indexable",""
"https://jigsawnation.com/in/en/products/aqua-adventure-4-in-1/","1","Buy Aqua Adventure - 4 in 1 - A 35 Piece Kids JSN Junior Jigsaw Puzzle in India only at Jigsaw Nation","101","900","Indexable",""
"https://jigsawnation.com/in/en/products/bombay-meri-jaan/","1","Buy Bombay Meri Jaan - A 150 Piece City Series Jigsaw Puzzle by Jit Chowdhury in India only at Jigsaw Nation","108","980","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-mario-miranda/","1","Buy Mario Miranda Jigsaw Puzzles Online in India only at Jigsaw Nation","70","636","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/legal/terms/","1","Jigsaw Nation the best place to buy jigsaw puzzles online in India","66","580","Indexable",""
"https://jigsawnation.com/in/en/track/","1","Jigsaw Nation the best place to buy jigsaw puzzles online in India","66","580","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/series-tinkle/","1","Buy Tinkle Jigsaw Puzzles Online in India only at Jigsaw Nation","63","561","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/squared-spectrum/","1","Buy Squared Spectrum - A 1000 Piece Pieceful Collection Jigsaw Puzzle by Murtaza M. Bookwala in India only at Jigsaw Nation","123","1128","Indexable",""
"https://jigsawnation.com/in/en/products/surreal-lane/","1","Buy Surreal Lane - A 1000 Piece Artist Jigsaw Puzzle by Thomas Fernandes in India only at Jigsaw Nation","103","937","Indexable",""
"https://jigsawnation.com/in/en/products/","1","Buy Jigsaw Puzzles and Accessories only at Jigsaw Nation in India","65","591","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/shakespeare-and-company/","1","Buy Shakespeare and Company - A 1000 Piece Artist Jigsaw Puzzle by Mario Miranda in India only at Jigsaw Nation","111","1024","Indexable",""
"https://jigsawnation.com/in/en/products/night-launch-gslv-mkii/","1","Buy Night Launch GSLV MKII - A 500 Piece ISRO Jigsaw Puzzle in India only at Jigsaw Nation","90","823","Indexable",""
"https://jigsawnation.com/in/en/products/procession/","1","Buy Procession - A 500 Piece Artist Jigsaw Puzzle by Mario Miranda in India only at Jigsaw Nation","97","869","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/","1","Buy Premium Jigsaw Puzzles Online | 100-10000 Pieces for Adults & Kids in India only at Jigsaw Nation","101","917","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/kitty-kronicles/","1","Buy Kitty Kronicles - A 500 Piece Studio JSN Jigsaw Puzzle by Drishti Tanna in India only at Jigsaw Nation","106","939","Indexable",""
"https://jigsawnation.com/in/en/products/timeless-temple-towers/","1","Buy Timeless Temple Towers - A 500 Piece Jigsaw Puzzle by Madras Design Story in India only at Jigsaw Nation","108","997","Indexable",""
"https://jigsawnation.com/in/en/products/tiles-of-turkiye/","1","Buy Tiles of Türkiye - A 100 Piece Tiles of the World Jigsaw Puzzle by Murtaza M. Bookwala in India only at Jigsaw Nation","121","1077","Indexable",""
"https://jigsawnation.com/in/en/products/tiles-of-portugal/","1","Buy Tiles of Portugal - A 100 Piece Tiles of the World Jigsaw Puzzle by Murtaza M. Bookwala in India only at Jigsaw Nation","122","1088","Indexable",""
"https://jigsawnation.com/in/en/products/streets/","1","Buy Streets - A 150 Piece Artist Jigsaw Puzzle by Jobin Varghese in India only at Jigsaw Nation","95","845","Indexable",""
"https://jigsawnation.com/in/en/products/celebrating-the-chettinad-charm/","1","Buy Celebrating The Chettinad Charm - A 280 Piece Jigsaw Puzzle by Madras Design Story in India only at Jigsaw Nation","117","1070","Indexable",""
"https://jigsawnation.com/in/en/products/street-singapore/","1","Buy Street Singapore - A 280 Piece Artist Jigsaw Puzzle by Mario Miranda in India only at Jigsaw Nation","103","920","Indexable",""
"https://jigsawnation.com/in/en/products/journeying-through-jali/","1","Buy Journeying Through Jali - A 280 Piece Jigsaw Puzzle by Madras Design Story in India only at Jigsaw Nation","109","985","Indexable",""
"https://jigsawnation.com/in/en/products/the-magical-wait/","1","Buy The Magical Wait - A 280 Piece Artist Jigsaw Puzzle by Thomas Fernandes in India only at Jigsaw Nation","106","968","Indexable",""
"https://jigsawnation.com/in/en/products/mountain-song/","1","Buy Mountain Song - A 280 Piece Artist Jigsaw Puzzle by Soumyaraj Vishwakarma in India only at Jigsaw Nation","108","997","Indexable",""
"https://jigsawnation.com/in/en/products/snakeboats-in-synchrony/","1","Buy Snakeboats in Synchrony - A 280 Piece Jigsaw Puzzle by Madras Design Story in India only at Jigsaw Nation","109","993","Indexable",""
"https://jigsawnation.com/in/en/products/the-kitchen/","1","Buy The Kitchen - A 280 Piece Artist Jigsaw Puzzle by Muhammed Sajid in India only at Jigsaw Nation","99","905","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/series-jsn-junior/","1","Buy Jsn Junior Jigsaw Puzzles Online in India only at Jigsaw Nation","67","600","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/wonderful-wooden-butterfly/","1","Buy Wonderful Wooden Butterfly - A 97 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","103","950","Indexable",""
"https://jigsawnation.com/in/en/products/marvellous-wooden-tiger/","1","Buy Marvellous Wooden Tiger - A 78 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","100","926","Indexable",""
